[0	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.759882029327915] 
[1	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.666367052249345] 
[2	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.926028360663188] 
[3	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.164535501344908] 
[4	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.109741377670042] 
[5	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.334080336696157] 
[6	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.159561273235541] 
[7	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.801815983877008] 
[8	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.8363821149438495] 
[9	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.961754783660244] 
[10	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.482380557649499] 
[11	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.605713072616574] 
[12	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.541919495647264] 
[13	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	6.763980430560387] 
[14	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.166025908372596] 
[15	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.71238915205996] 
[16	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.171337472759634] 
[17	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.63985752069313] 
[18	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	6.091455779963118] 
[19	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.601827232910125] 
[20	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.59410223275438] 
[21	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.016702127980121] 
[22	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.434472346965761] 
[23	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.67468884721783] 
[24	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.050792210339586] 
[25	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.2096670093156] 
[26	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.457043477072107] 
[27	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.272547410435344] 
[28	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.209682823361213] 
[29	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.424200964218992] 
[30	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	5.708828563672945] 
[31	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.122181715066896] 
[32	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.2479668097718255] 
[33	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.4249960056755935] 
[34	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.094199923527473] 
[35	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.483584912485203] 
[36	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.285696134008955] 
[37	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	4.78359448710736] 
[38	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.685429688368488] 
[39	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	9.112787183423547] 
[40	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	8.88202016747085] 
[41	[5, 13, 1.3007402405183437, 100, 14, 4, 0.6827029110776486, 81]	7.461356795708198] 
