[0	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.979295432934293] 
[1	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.963930391842693] 
[2	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.984312459403933] 
[3	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.983372177343853] 
[4	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.989278864411506] 
[5	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98193532519768] 
[6	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.980231410909665] 
[7	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98702531834628] 
[8	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.97821338518813] 
[9	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.980851413180202] 
[10	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.974178910691615] 
[11	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.984334918825333] 
[12	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98779479782182] 
[13	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98607516784946] 
[14	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.991399223916344] 
[15	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.977640339845115] 
[16	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.987294289827794] 
[17	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.987342831842742] 
[18	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.97292669913329] 
[19	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.982125514995786] 
[20	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.969873053222386] 
[21	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.969206610796572] 
[22	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.97768204527351] 
[23	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.975029610776412] 
[24	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.97384974349341] 
[25	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.984193197989772] 
[26	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.986043960095818] 
[27	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.981489445056356] 
[28	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.984205620103438] 
[29	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.980764595481165] 
[30	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.973533600981659] 
[31	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.986489692009918] 
[32	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.972231923079907] 
[33	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.978360435955985] 
[34	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.983562357206324] 
[35	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.969250554128633] 
[36	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.983944658832538] 
[37	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.965112155666478] 
[38	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.983706317639992] 
[39	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.973333412315396] 
[40	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.980376784004031] 
[41	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.983286293179296] 
[42	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98608594852108] 
[43	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.97713033591017] 
[44	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.975579398411597] 
[45	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.972405360937287] 
[46	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98246714274456] 
[47	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.974643418191663] 
[48	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.988366138913495] 
[49	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.984253623840058] 
[50	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.984318412420766] 
[51	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98829220400572] 
[52	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.967742822689095] 
[53	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.968712260533083] 
[54	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.982779659191038] 
[55	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.984546679105927] 
[56	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.977965388226163] 
[57	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.976162580858604] 
[58	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.987215566026698] 
[59	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98390314078026] 
[60	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.985582573436075] 
[61	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.980445183686877] 
[62	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.986159215489623] 
[63	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.983634143619359] 
[64	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.975853908585648] 
[65	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.975978847630865] 
[66	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.968757601431008] 
[67	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.979825584552586] 
[68	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.972955053052038] 
[69	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.982359848645345] 
[70	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.977688627731641] 
[71	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.969630198432007] 
[72	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.979028187126747] 
[73	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.979984439325648] 
[74	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.98504887644089] 
[75	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.970122344399414] 
[76	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.97953544277968] 
[77	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.980573968622181] 
[78	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.975353731876318] 
[79	[123.9789487679547, 10, 17, 0.06542202660344815, 100, 1.3260420688384487, 0.18175913741175742]	9.974955164260171] 
